ï»¿web-scraper-order,web-scraper-start-url,department,department-href,courseprefix,course_id,title,lectures,labs,units,prequisites,concurrent,corequisites,recommended,term_offered,description,,
1539935001-3358,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 410,Biomechanics,3,1,4,CE 204 and ME 212,,BMED 310,,"W, SP","Introduction to physiological systems, with emphasis on structure and function of major tissues and organs.  Application of mechanics to understand the behavior of these tissues and organs at gross and microscopic levels.  Bioelastic solids.  Rigid body biomechanics.  Biofluids, basic mechanical properties of collagen and elastin, bone, cartilage, muscles, blood vessels, and other living tissues.  Application of continuum mechanics to hard and soft tissues.  Biomechanical engineering design for clinical applications.  3 lectures, 1 laboratory.",,
1539935001-3359,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 420,Principles of Biomaterials Design,3,1,4,CE 204 and MATE 210,,BMED 310,,"W, SP","Fundamentals of materials science as applied to bioengineering design.  Biocompatibility of materials.  Materials characterization and design.  Natural and synthetic polymeric materials.  Wound repair, foreign body response, blood clotting.  Transplantation biology, artificial organs, and tissue engineering.  Medical devices, government regulations, and ethical issues.  3 lectures, 1 laboratory.",,
1539935001-3360,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 422,Medical Device Evaluation and the FDA Approval Process,4,,4,BMED 420,,,,"W, SP","Overview of the path to market for new medical devices, including nonclinical and clinical evaluation and the regulatory process.  Course covers bench, in vitro, and in vivo models, GLP studies, clinical trials, Quality Systems, and FDA clearance and approval processes.  4 lectures.",,
1539935001-3361,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 425,Biomedical Engineering Transport,3,1,4,ME 302 and ME 341,,,,"F, SP","Mass transfer in solids, liquids, and gases with application to biological systems.  Free and facilitated diffusion.  Convective mass transfer.  Diffusion-reaction phenomena.  Active transport.  Biological mass transfer coefficients.  Nonequilibrium thermodynamic analysis of transport phenomena.  The osmotic effect.  Diffusion and exchange in biological systems.  3 lectures, 1 laboratory.",,
1539935001-3362,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 430,Biomedical Modeling and Simulation,1,1,2,BMED 310,,,,"F, W","Computational methods for anatomical modeling and boundary value problems in the biomechanics of tissues and biomedical devices.  Nonlinear biodynamics, heat flow, cardiac impulse propagation, anatomic modeling, and biomechanics.  1 lecture, 1 laboratory.",,
1539935001-3363,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 432,Micro/Nano System Design,4,,4,BMED 212 or MATE 210,,,,F,"Fundamentals of designing micro/nano scale systems employing sensors, actuators and intelligent controls.  Explore mechanics, electronics, heat transfer, photonics, fluid mechanics and biometrics at the micrometer and nanometer scale.  Discover how scaling impacts design criteria.  Investigate the integration of science and engineering and evaluate applications in living systems.  Not open to students with credit in MATE 550.  4 lectures.",,
1539935001-3364,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 434,Micro/Nano Fabrication,3,,3,BMED 212 or MATE 210,,,,W,"Fabrication science and technology for creating micro and nano scale devices.  Explore basic processes such as oxidation, diffusion, ion implantation, etching, chemical and physical vapor deposition, photolithography.  Develop an understanding of the science of each process and how to select the right steps for fabricating electronic, photon and micro-electro-mechanical systems devices.  3 lectures.  Crosslisted as BMED 434/EE 423/MATE 430.",,
1539935001-3365,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 435,Microfabrication Laboratory,,1,1,,,,,W,"Application of basic processes involved in microfabrication:  cleanroom protocol, oxidation, diffusion, photolithography etching and sputtering.  Explore process development through fabrication of electronic, photonic or microfluidic devices.  Each student will be part of a team that will fabricate and test a device.  1 laboratory.  Crosslisted as BMED/MATE 435.",,
1539935001-3366,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 436,Characterization of Micro/Nano Scale Structures,4,,4,BMED 212 or MATE 210,,,,SP,"Fundamentals of material's surface analysis techniques for exploring structure and composition of micro/nano scale features and films will be assessed.  Students will develop data analytics for deciding which technique to apply for morphological, elemental or chemical composition analysis.  4 lectures.",,
1539935001-3367,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 440,Bioelectronics and Instrumentation,3,1,4,BMED 310 and EE 201,,,,"F, W","Analog and digital circuits in bioinstrumentation.  Biomedical signals in continuous and discrete systems.  Sampling and digital signal processing.  Ultrasound, MRI, CT, Bioelectromagnetics.  Electrokinetics.  Biophysical phenomena, transducers, and electronics as related to the design of biomedical instrumentation.  Potentiometric and amperometric signals and amplifiers.  Biopotentials, membrane potentials, chemical sensors.  Mechanical transducers for displacement, force and pressure.  Temperature sensors.  Flow sensors.  Light-based instrumentation.  Electrical safety.  3 lectures, 1 laboratory.",,
1539935001-3368,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 445,Biopotential Instrumentation,2,2,4,BMED 440,,,,SP,"Focus on the principles associated with instrumentation used to detect surface biopotentials.  Emphasis on circuit level design and laboratory implementation of systems used to detect ECG, EMG and EEG signals.  Development of practical experience with analog electronic instrumentation used in the design and testing process.  A system level design project related to surface biopotential detection and recording.  2 lectures, 2 laboratories.",,
1539935001-3369,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 450,Contemporary Issues in Biomedical Engineering,4,,4,Senior standing in Biomedical Engineering,,,,"F, W, SP","Current and evolving topics in biomedical engineering, including medical and industrial applications.  Exploration of contemporary issues in biomedical engineering, including technical and societal implications.  The Schedule of Classes will list topic selected.  Total credit limited to 16 units.  4 lectures.",,
1539935001-3370,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 455,Biomedical Engineering Design I,2,2,4,BMED 410,,,,"F, W","Engineering design methodology, design process, project planning, decision making, modeling, construction, and testing of an open-ended design project.  Preparation of formal engineering reports.  Statistical analysis.  Governmental regulations.  Bioethical issues.  2 lectures, 2 laboratories.",,
1539935001-3371,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 456,Biomedical Engineering Design II: Senior Project,2,2,4,BMED 455,,,,"W, SP","Engineering design methodology, design process, project planning, decision making, modeling, construction, and testing of an open-ended design project.  Preparation of formal engineering reports.  Statistical analysis.  Governmental regulations.  Bioethical issues.  2 lectures, 2 laboratories.",,
1539935001-3372,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 459,Senior Thesis,,,4,"senior standing, and consent of instructor",,,,"F,W,SP,SU",Selection and completion of senior thesis under faculty supervision.  Projects typical of problems which graduates must solve in their fields of employment.  Thesis results presented in a formal report.  Minimum commitment of 120 hours.,,
1539935001-3373,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 460,Engineering Physiology,3,1,4,BMED 310 and either BIO 231 or BIO 232; or graduate standing,,,,"F, W, SP","Physiology for biomedical engineering students, with an emphasis on control mechanisms and engineering principles.  Engineering aspects of basic cell functions; biological control systems; muscle; neural; endocrine, and circulatory systems, digestive, respiratory, renal, and reproductive systems; regulation of metabolism, and defense mechanisms.  3 lectures, 1 laboratory.",,
1539935001-3374,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 470,Selected Advanced Topics,1 to 4,,1-4,Consent of instructor,,,,TBD,Directed group study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Schedule of Classes will list title selected.  Total credit limited to 8 units.  1 to 4 lectures.,,
1539935001-3375,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 471,Selected Advanced Laboratory,,1 to 4,1-4,Consent of instructor,,,,TBD,Directed group laboratory study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Schedule of Classes will list title selected.  Total credit limited to 8 units.  1 to 4 laboratories.,,
1539935001-3376,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 481,Senior Project Design Laboratory I,,1,1,"IME 314, MATH 244 and ME 302",,,,TBD,"Selection and development of project by individuals or team which is typical of problems graduates must solve in their fields of employment or applied research.  Project may involve, but is not limited to, physical modeling and testing of integrated design projects, costs, planning, scheduling and research.  Formulation of outline, literature review, and project schedule.  1 laboratory.",,
1539935001-3377,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 482,Senior Project Design Laboratory II,,1,1,BMED 481,,,,TBD,"Continuation of BMED 481.  Continuation of project by individuals or team which is typical of problems graduates must solve in their fields of employment or applied research.  Project may involve, but is not limited to, physical modeling and testing of integrated design projects, costs, planning, scheduling and research.  Formulation of outline, literature review, and project schedule.  1 laboratory.",,
1539935001-3378,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 483,Senior Project Design Laboratory III,,2,2,BMED 482,,,,TBD,"Continuation of BMED 482.  Continuation of project by individuals or team which is typical of problems graduates must solve in their fields of employment or applied research.  Project may involve, but is not limited to, physical modeling and testing of integrated design projects, costs, planning, scheduling and research.  Formulation of outline, literature review, and project schedule.  2 laboratories.",,
1539935001-3379,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 495,Cooperative Education Experience,,,1-12,Sophomore standing and consent of instructor,,,,"F,W,SP,SU","Work experience in business, industry, government, and other areas of student career interest.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  A fully developed formal report and evaluation by work supervisor is required.  Credit/No Credit grading only.  No major credit allowed; total credit limited to 24 units.",,
1539935001-3380,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 500,Individual Study,,,2-4,Graduate standing and consent of department chair,,,,"F,W,SP,SU","Individual investigation, research, studies or surveys of selected problems.  Advanced study planned and completed under the direction of faculty.  Open to graduate students who have demonstrated the ability to do independent work.  Total credit limited to 8 units.",,
1539935001-3381,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 510,Principles of Tissue Engineering,3,1,4,"one of the following: ASCI 438, BIO 361, or BMED 460; or graduate standing",,,,F,"Exploration of areas including cell source and isolation, scaffold selection and modification, tissue cultivation and bioreactor design, and patient implantation.  Applications of tissue engineering for creating skin, cartilage, blood vessels, and other tissues.  3 lectures, 1 laboratory.",,
1539935001-3382,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 512,Biomedical Engineering Horizons,4,,4,"Graduate standing, MATH 143, CHEM 125, PHYS 131 or PHYS 141, BIO 161 or consent of instructor",,,,SP,"Examination of the advances in nanotechnology, micro-electro-mechanical systems, materials and clinical technology.  Relationship between modern medical achievements and advances in engineering and science, the biomedical engineering industry, and the use of technology in a human context.  4 lectures.",,
1539935001-3383,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 515,Introduction to Biomedical Imaging,2,2,4,"PHYS 132, MATH 244, and graduate standing",,,,W,"Fundamental principles and applications of biomedical imaging, modalities in medicine.  Topics focus on optical imaging techniques, such as brightfield, fluorescence, confocal, multiphoton, DIC, OCT, SEM, and other advanced microscopy techniques.  2 lectures, 2 laboratories.",,
1539935001-3384,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 520,Introduction to Biomedical Engineering,4,,4,Graduate standing,,,,W,"Advanced treatment of the basic engineering sciences in the biomedical engineering context.  For the student who has had little prior exposure to biomedical engineering, but has either a strong engineering or a strong science background.  4 lectures.",,
1539935001-3385,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 525,Skeletal Tissue Mechanics,4,,4,"CE 204, BMED 460",,,,W,"Overview of the mechanical properties of various tissues in the musculoskeletal system, the relationship of these properties to anatomic and histologic structures, and the changes in these properties caused by aging, disease, overuse, and disuse.  Tissues covered include bone, cartilage and synovial fluid, ligament, and tendon.  4 lectures.",,
1539935001-3386,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 530,Biomaterials,4,,4,"BIO 161, or BIO 213 and BMED/BRAE 213; MATE 210 and graduate standing or consent of instructor",,,,"F, W","Structure-function relationships for materials in contact with biological systems.  Interactions of materials implanted in the body.  Histological and hematological considerations including foreign body responses, inflammation, carcinogenicity, thrombosis, hemolysis, immunogenic and toxic properties.  Microbial interaction with material surfaces, degradation.  4 lectures.  Crosslisted as BMED/MATE 530.",,
1539935001-3387,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 535,Bioseparations,4,,4,"BMED 425, ME 341 or consent of instructor",,,,W,"Advanced topics in physicochemical hydrodynamics, bioseparations and microfluidic bioseparations, which include the key aspects of electrokinetics, colloid science and suspension mechanics in bioseparations.  Understanding key separation design parameters through theoretical and numerical models.  4 lectures.",,
1539935001-3388,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 541,Microcirculation,3,,3,BMED 460,,,,TBD,"Topic groups include microvessel wall structure, network architecture, flow regulation, transport, inflammation, angiogenesis, arteriogenesis, and rarefaction.  Additional focus on patho-physiology and the engineering approaches to assess and treat microvascular dysfunction.  Not open to students with credit in BMED 540.  3 lectures.",,
1539935001-3389,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 542,Microcirculation Laboratory,,1,1,BMED 460,,,,TBD,"Laboratory procedures include direct visualization of microvessels by microscopy and indirect assessment by skin temperature, evaluation of microvascular networks by casting and immunostaining, and assessment of vascular wall structure by histology.  1 laboratory.",,
1539935001-3390,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 550,Current and Evolving Topics in Biomedical Engineering,4,,4,Graduate standing in biomedical engineering or consent of department chair,,,,SP,"Current topics in biomedical engineering, including medical and industrial applications.  Exploration of detailed technical treatment of contemporary issues in biomedical engineering, and examination of technical and societal implications of these subjects.  The Schedule of Classes will list topics selected.  Total credit limited to 8 units.  4 lectures.",,
1539935001-3391,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 555,Neural Systems Simulation and Modeling,4,,4,"MATH 244, BMED 440",,,,SP,"The biophysical basis of the Hodgkin-Huxley active membrane model.  A detailed description of the dynamics of voltage gated ion channels.  The complete Hodgkin-Huxley active membrane model, with an emphasis on its use in simulating the electrical activity of nerve cells.  Equivalent circuit/ circuit simulator based approaches to modeling Hodgkin-Huxley neurons.  4 lectures.",,
1539935001-3392,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 560,Cell Transplantation and Biotherapeutics,2,,2,"ASCI 438, BIO 361, or BMED 460",,,,SP,"Topics include the etiology, patho-physiology, and rodent models for various forms of disease, such as inflammatory, autoimmune, and monogenic diseases, as well as nucleic acid, protein, and cellular-based therapies for these conditions.  Not open to students with credit in BMED 545.  2 lectures.",,
1539935001-3393,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 561,Cell Transplantation and Biotherapeutics Laboratory,,2,2,"ASCI 438, BIO 361, or BMED 460; and STAT 218 or STAT 312",,BMED 560,,SP,"Procedures include rodent handling, anesthesia, surgically modeling disease, biotherapy delivery, and visualizing/measuring therapeutic efficacy.  Additional focus on experimental design, data collection, and analysis.  2 laboratories.",,
1539935001-3394,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 563,Biomedical Engineering Graduate Seminar,,1,2,Graduate standing or consent of instructor,,,,SP,"Selected topics of interest to biomedical engineering and other graduate students.  Open to graduate students and selected seniors.  A forum to share information about research and research tools; an opportunity to discuss topics of interest with professionals in the field, academics, and other graduate students.  The Schedule of Classes will list topic selected.  Total credit limited to 4 units.  1 seminar, 1 laboratory.",,
1539935001-3395,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 570,Selected Advanced Topics,4,,1-4,Graduate standing or consent of instructor,,,,TBD,Directed group study of selected topics for graduate students.  Open to undergraduate and graduate students.  The Schedule of Classes will list title selected.  Total credit limited to 8 units.  1-4 lectures.,,
1539935001-3396,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 571,Selected Advanced Laboratory,,4,1-4,Graduate standing or consent of instructor,,,,TBD,Directed group laboratory study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Schedule of Classes will list title selected.  Total credit limited to 8 units.  1-4 laboratories.,,
1539935001-3397,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 591,Thesis Project Design Laboratory I,,2,2,Graduate standing,,,,TBD,"Selection and completion of project by individuals or team which is typical of problems graduates must solve in their fields of employment or applied research.  Project may involve, but is not limited to, physical modeling and testing of integrated design projects, costs, planning, scheduling and research and may involve students from several disciplines.  Formulation of outline, literature, review and project schedule.  2 laboratories.",,
1539935001-3398,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 592,Thesis Project Design Laboratory II,,2,2,BMED 591 or consent of instructor,,,,TBD,"Continuation of BMED 591.  Completion of project by individuals or team which is typical of problems graduates must solve in their fields of employment or applied research.  Project may involve, but is not limited to, physical modeling and testing of integrated design projects, costs, planning, scheduling and research.  Formulation of outline, literature review, and project schedule.  2 laboratories.",,
1539935001-3399,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 593,Regenerative Medicine Internship,,,3-5,Graduate standing in the Specialization in Regenerative Medicine for the MS in Biological Sciences; or the Specialization in Regenerative Medicine for the MS in Biomedical Engineering; or the Specialization in Animal Science for the MS in Agriculture,,,,"F, W, SP",Supervised graduate research and/or development in stem cell science or regenerative medicine and engineering.  Provides students with an off-campus industrial or university internship.  Total credit limited to 10 units.   Crosslisted as ASCI/BIO/BMED 593.,,
1539935001-3400,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 594,Applications in Regenerative Medicine,,,2,"Graduate standing in the Specialization in Regenerative Medicine for the MS in Biological Sciences, or the MS in Biomedical Engineering, or the Animal Science Specialization in the MS in Agriculture",,,,SP,"Transfer of skills and knowledge gained through coursework, in an applied setting at Cal Poly.  Demonstration of technical, problem solving, and presentation skills, and familiarity with current research.  Part of the culminating experience for the Specialization in Regenerative Medicine in the MS in Biological Sciences, or the MS in Biomedical Engineering, or the Animal Science Specialization in the MS in Agriculture.  1 seminar and supervised work.  Crosslisted as ASCI/BIO/BMED 594.",,
1539935001-3401,http://catalog.calpoly.edu/coursesaz,Biomedical Engineering (BMED),http://catalog.calpoly.edu/coursesaz/bmed/,BMED,BMED 599,Design Project (Thesis),,,1-9,Graduate standing,,,,"F,W,SP,SU","Selection by individual or group, with faculty guidance and approval, of topic for independent research or investigation resulting in a thesis or project to be used to satisfy the degree requirement.  An appropriate experimental or analytical thesis or project may be accepted.  Total credit limited to 9 units.",,
1539934993-3268,http://catalog.calpoly.edu/coursesaz,Botany (BOT),http://catalog.calpoly.edu/coursesaz/bot/,BOT,BOT 121,General Botany,3,1,4,,,,,"F,W,SP,SU","The anatomy, physiology, reproduction, and importance of plants. 3 lectures, 1 laboratory. Fulfills GE B2 & B4.",,
1539934993-3269,http://catalog.calpoly.edu/coursesaz,Botany (BOT),http://catalog.calpoly.edu/coursesaz/bot/,BOT,BOT 311,"Plants, People and Civilization",3,1,4,One course from GE Area B2,,,,F,"Human uses of plants for food, beverage, medicine, fiber, recreation, and rituals.  Uses of plants by different cultures throughout the world and the social, economical, and environmental importance of plants in our lives.  3 lectures, 1 laboratory.  Fulfills GE B5.",,
1539934993-3270,http://catalog.calpoly.edu/coursesaz,Botany (BOT),http://catalog.calpoly.edu/coursesaz/bot/,BOT,BOT 313,Taxonomy of Vascular Plants,2,2,4,BIO 114 or BIO 162 or BOT 121,,,,W,"Introduction to classification and identification of vascular plants, emphasizing major plant families; field and herbarium techniques.  2 lectures, 2 laboratories.",,
1539934993-3271,http://catalog.calpoly.edu/coursesaz,Botany (BOT),http://catalog.calpoly.edu/coursesaz/bot/,BOT,BOT 323,Plant Pathology,2,2,4,BIO 162 or BOT 121,,,,"F, SP","Comprehensive study of the causes and effects of disease in plants.  Designed to lead to an understanding of the science and modern control methods.  2 lectures, 2 laboratories.  Crosslisted as AEPS/BOT 323.",,
1539934993-3272,http://catalog.calpoly.edu/coursesaz,Botany (BOT),http://catalog.calpoly.edu/coursesaz/bot/,BOT,BOT 326,Plant Ecology,3,1,4,"BIO 114, BIO 162, BIO 211, or BOT 121",,,BIO 263 and STAT 217 or STAT 218,"W, SU","Plant communities, population dynamics, and effects of the following environmental factors on plant growth and development:  soil, water, temperature, light, atmosphere, topography, organisms, and fire.  3 lectures, 1 laboratory.",,
1539934993-3273,http://catalog.calpoly.edu/coursesaz,Botany (BOT),http://catalog.calpoly.edu/coursesaz/bot/,BOT,BOT 329,"Plants, Food, and Biotechnology",3,1,4,"Junior standing and completion of one of the following: AEPS 120, BIO 111, BIO 114, BIO 161, or BOT 121",,,,TBD,"Agriculture as applied biology and its impact on civilization.  Application of technology to increase the efficiency of food production.  Genetics and biotechnology; culminating in an assessment of genetically engineered foods, the myths, the controversy, the science.  Not open to Agricultural and Environmental Plant Sciences majors.  3 lectures, 1 laboratory.  Crosslisted as AEPS/BOT 329.  Fulfills GE Area F.",,
1539934993-3274,http://catalog.calpoly.edu/coursesaz,Botany (BOT),http://catalog.calpoly.edu/coursesaz/bot/,BOT,BOT 433,Field Botany: California Plant Diversity,3,2,5,"BOT 313, or graduate standing in Biological Sciences",,,,SP,"Field studies of California's diverse vegetation.  Identification of plants and plant communities in the field.  Factors affecting distribution and ecological relationships.  California geography, geology, and evolution of California flora.  Several one day field trips and three weekend trips to California's deserts and mountains.  Field trips required.  3 lectures, 2 laboratories.",,
1539934997-3275,http://catalog.calpoly.edu/coursesaz,BioResource and Agricultural Engineering (BRAE),http://catalog.calpoly.edu/coursesaz/brae/,BRAE,BRAE 121,Agricultural Mechanics,1,1,2,,,,,"F, W","Identification and use of tools and materials; shop safety; tool sharpening and care; concrete mixes and materials; simple electric wiring; metal work; pipe fitting; basic woodworking; estimating quantities and costs. Students are required to meet safety regulations in laboratory work. 1 lecture, 1 laboratory.",,
1539934997-3276,http://catalog.calpoly.edu/coursesaz,BioResource and Agricultural Engineering (BRAE),http://catalog.calpoly.edu/coursesaz/brae/,BRAE,BRAE 128,Careers in Bioresource and Agricultural Engineering,1,1,2,,,,,F,"Introduction to careers associated with BioResource and Agricultural Engineering, and Agricultural Systems Management. Professional engineering registration process. Engineering problem solution and report format. Design procedures. Engineering fundamentals. Laboratory includes visits to facilities relating to career opportunities. 1 lecture, 1 laboratory.",,
1539934997-3277,http://catalog.calpoly.edu/coursesaz,BioResource and Agricultural Engineering (BRAE),http://catalog.calpoly.edu/coursesaz/brae/,BRAE,BRAE 129,Laboratory Skills and Safety,,1,1,BRAE and ASM majors only,,,,"F, W, SP","Introduction to fabrication and construction materials used in the field of Agricultural Engineering.  Fabrication skills in the development of wood, metal, concrete projects, and creative design.  Strength tests of wood, fasteners, concrete, and student design projects.  1 laboratory.",,
1539934997-3278,http://catalog.calpoly.edu/coursesaz,BioResource and Agricultural Engineering (BRAE),http://catalog.calpoly.edu/coursesaz/brae/,BRAE,BRAE 133,Introduction to Engineering Design Graphics,,1,1,,,,,"F, W","Visual communication in engineering design and problem solving. Principles of freehand sketching, engineering graphics, and computer-aided-drafting. Perspective and orthographic sketching, orthographic drawing with instruments and computer, applied descriptive geometry. 1 laboratory.",,
1539934997-3279,http://catalog.calpoly.edu/coursesaz,BioResource and Agricultural Engineering (BRAE),http://catalog.calpoly.edu/coursesaz/brae/,BRAE,BRAE 141,Agricultural Machinery Safety,2,1,3,,,,,"F, SP","Evaluation of safe tractor and equipment operation. Supervised field operation emphasizing the safe and efficient performance of modern farm and utility-industrial equipment. 2 lectures, 1 laboratory.",,
1539934997-3280,http://catalog.calpoly.edu/coursesaz,BioResource and Agricultural Engineering (BRAE),http://catalog.calpoly.edu/coursesaz/brae/,BRAE,BRAE 142,Agricultural Power and Machinery Management,3,1,4,MATH 116 or equivalent,,,,F,"Evaluation of agricultural machinery and tractor power performance.  Equipment studied includes primary and secondary tillage tools, grain drills, row crop planters, sprayers, grain and forage harvesters, and specialty crop harvesters.  Emphasis on management, selection, cost analysis using computers and efficient operation of agricultural machinery.  3 lectures, 1 laboratory.",,
1539934997-3281,http://catalog.calpoly.edu/coursesaz,BioResource and Agricultural Engineering (BRAE),http://catalog.calpoly.edu/coursesaz/brae/,BRAE,BRAE 151,CAD for Agricultural Engineering,,1,1,,,,,"F, W","Computer aided drafting on a desktop personal computer using Autocad software. Drawing setup. 2-D projections including automatic dimensioning and hatching. Isometric construction, drawing layers, library symbols. Use of 3-D drawing software. 1 laboratory.",,
1539934997-3282,http://catalog.calpoly.edu/coursesaz,BioResource and Agricultural Engineering (BRAE),http://catalog.calpoly.edu/coursesaz/brae/,BRAE,BRAE 152,3-D Solids Modeling,,1,1,"BRAE 133, BRAE 151 or equivalent courses",,,,"W, SP","Introduction to 3-dimensional solids modeling using state-of-the-art software.  Model generation and modification of associative properties, assembly modeling, extrusions and revolutions.  1 laboratory.",,
1539934997-3283,http://catalog.calpoly.edu/coursesaz,BioResource and Agricultural Engineering (BRAE),http://catalog.calpoly.edu/coursesaz/brae/,BRAE,BRAE 200,Special Problems for Undergraduates,,,1-4,Consent of department head,,,,"F, W, SP","Individual investigation, research, studies or surveys of selected problems.  Total credit limited to 8 units, with a maximum of 4 units per quarter.",,
